Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
3W,EEVEE ENGINEERING PVT LTD,0,0,0,11,13,5,14,20,1,0,64
3W,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,0,0,0,82,526,170,778
3W,E-GURU AUTO ENERGY,0,0,0,0,0,0,0,12,125,202,339
3W,EICHER MOTORS LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,EICHER MOTORS LTD,0,3,0,0,0,0,0,0,0,0,3
2W,EICHER POLARIS PVT. LTD.,0,0,0,0,1,0,0,0,0,0,1
LMV,EICHER TRACTORS,4,2,4,0,0,0,0,0,0,0,10
2W,EKO VEHICLE PRIVATE LIMITED,10,0,8,0,0,0,0,0,0,0,18
3W,EKO VEHICLE PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,0,1
3W,ELECTRA INTERNATIONAL,0,0,39,58,23,19,0,0,7,8,154
2W,ELECTRECA VEHICLES,0,0,0,0,2,9,40,93,72,40,256
3W,ELECTRECA VEHICLES,0,0,0,4,181,29,9,0,0,0,223
2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,43,2,45
3W,ELECTROTECH TRANSMISSION PVT LTD,0,0,0,0,0,0,0,0,1,0,1
2W,ELECTROTHERM (I) LIMITED,178,136,26,4,0,0,0,0,0,0,344
3W,ELECTROTHERM (I) LIMITED,44,763,919,147,10,0,0,0,0,0,1883
LMV,ELECTROTHERM (I) LIMITED,0,1,11,1,0,0,0,0,0,0,13
2W,ELECTROTHERM (INDIA) LIMITED,0,0,15,48,2,0,0,0,0,0,65
3W,ELECTROTHERM (INDIA) LIMITED,1,282,627,1184,270,60,35,5,4,0,2468
LMV,ELECTROTHERM (INDIA) LIMITED,0,0,0,1,0,0,0,0,0,0,1
3W,ELEPHANTA INDUSTRIES PVT LTD,0,0,0,0,53,33,18,49,11,8,172
3W,ELGI EQUIPMENTS LTD           ,0,0,2,0,0,0,0,0,0,0,2
3W,ELITE AUTO ENGINEERS PVT LTD,0,55,50,85,16,75,229,509,1200,934,3153
2W,ELTHOR ENERGY PRIVATE LIMITED,0,0,0,0,0,0,402,735,230,82,1449
2W,EMOBI MANUFACTURY PRIVATE LIMITED,0,0,0,0,0,0,3,0,0,0,3
3W,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,6,61,11,10,108,367,470,259,1292
3W,ENERGY ELECTRIC VEHICLES,0,361,1928,2606,2407,1324,3070,6263,11080,6782,35821
3W,ENGINIA VEHICLES PVT LTD,0,0,0,0,0,4,1,0,188,184,377
2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,0,0,141,472,237,850
2W,ENIGMA AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,2,13,15
3W,ENTICE IMPEX PVT LTD,0,177,200,128,101,131,148,188,587,599,2259
3W,EPOWER VEHICLES PVT LTD,0,4,185,181,160,55,62,43,31,6,727
3W,ERISHA E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,55,48,103
LMV,ERISHA E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,1,1,2
3W,ESCORT JCB LTD,0,1,0,0,0,0,0,0,0,0,1
LMV,ESCORTS CONSTRUCTION EQUIPMENT LTD,0,4,0,2,0,0,0,0,0,0,6
3W,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,1,0,0,0,0,0,0,0,0,1
LMV,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,1,0,0,0,0,1,1,5,0,8
2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,0,116,331,447
2W,ESSEL ENERGY INFRA PVT LTD,0,0,0,0,0,0,0,0,0,1,1
3W,ETHIRAJ AUTO UDYOG PVT LTD    ,0,0,0,1,0,0,0,0,0,0,1
3W,ETRIO AUTOMOBILES PVT LTD,0,0,0,0,0,0,75,179,80,6,340
LMV,ETRIO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,1,4,0,5
3W,EULER MOTORS PVT LTD,0,0,0,49,143,63,119,647,2595,2104,5720
LMV,EULER MOTORS PVT LTD,0,0,0,0,0,0,0,7,3,2,12
LMV,EVAGE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,3,44,60,107
3W,EVBHARAT RANGE PRIVATE LIMITED,0,0,0,0,0,0,0,15,31,18,64
3W,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,57,14,327,398
3W,EVERVE MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,0,1
3W,EVEX AUTO INDIA PVT LTD,0,0,0,1,67,66,134,298,166,36,768
3W,EVOLUTION AUTOTECH,0,0,0,10,3,1,5,2,0,2,23
2W,EVTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,162,540,123,825
2W,EXERVAL PVT LTD,0,0,0,0,0,0,0,127,83,13,223
3W,EXIDE INDUSTRIES LTD,0,0,0,0,1,274,519,1056,2379,1318,5547
3W,EXPO MACHINERY LTD,0,1,0,1,0,0,0,0,0,0,2
3W,EXTRA FAST SOLUTIONS,0,0,0,0,0,56,214,401,614,470,1755
3W,EXTRAMILE GAS TECH,0,0,0,3,4,6,0,0,0,0,13
3W,EXTREME MOTORS,0,0,49,200,111,12,15,177,218,90,872
3W,EYUG AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,10,10
3W,FEDE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,395,900,496,1791
2W,FIADO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,5,106,58,169
3W,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,268,546,281,1095
3W,FITWEL MOBILITY PVT LTD,0,0,0,0,0,0,1,31,17,2,51
3W,FIVE ELEMENTS,0,6,48,30,15,6,1,23,119,83,331
LMV,FORCE MOTORS LIMITED,0,1,0,0,0,0,0,0,0,0,1
3W,FORD INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,1
LMV,FORD INDIA PVT LTD,1,0,0,1,0,0,0,0,0,0,2
3W,FRN MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,6,6
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,57,21,78
2W,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),0,0,0,0,0,0,0,0,0,2,2
2W,FUJIYAMA POWER INFRA PVT. LTD.,0,0,0,0,0,0,0,0,16,4,20
3W,G & G AUTOMOTIVE,0,0,47,457,688,318,447,699,1430,648,4734
LMV,G & G AUTOMOTIVE,0,0,0,1,0,0,0,0,0,0,1
3W,G WILLIAMS FABRICATIONS LTD,0,0,0,44,68,5,1,2,0,0,120
3W,G. M. VEHICLE INDUSTRIES,0,0,0,0,0,0,0,9,3,22,34
3W,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,74,479,553
3W,G.K. RICKSHAW,0,0,816,1626,2257,2405,2491,4151,5514,2850,22110
LMV,G.K. RICKSHAW,0,0,1,0,0,0,0,0,0,0,1
3W,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,383,508,891
LMV,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),0,0,0,0,0,0,0,0,1,0,1
3W,GALVANIC AUTO PVT LTD,0,0,0,0,0,0,0,0,188,19,207
LMV,GANAPATI AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0,1
3W,GARWARE MOTORS LIMITED,0,0,8,0,0,0,0,0,0,0,8
2W,GAURA ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,163,163
3W,GAURI AUTO INDIA PVT. LTD,0,0,0,0,15,7,6,10,1,0,39
3W,GAYAM MOTOR WORKS PRIVATE LIMITED,0,0,0,0,10,28,63,0,0,0,101
3W,GAYATRI ELECTRIC VEHICLES,0,0,6,117,195,81,428,2048,2950,1053,6878
3W,GEMAG CONSTRUCTION MACHINARY,1,1,3,0,0,0,0,0,0,0,5
3W,GENERAL AGENCIES(KOLKATA) PVT LTD,0,0,0,0,9,1,0,0,0,0,10
2W,GENERAL MOTORS INDIA PVT LTD,3,1,0,0,0,0,0,0,0,0,4
3W,GENERAL MOTORS INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,GENERAL MOTORS INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,1
3W,GEO ALLIANCE,0,0,0,0,1,6,4,0,0,0,11
3W,GILL AGRICULTURE WORKS,0,0,0,4,0,0,0,0,0,0,4
3W,GILL AGROTECH,0,0,0,0,0,0,0,0,1,0,1
3W,GIRNAR SCOOTERS LTD,0,1,0,0,0,0,0,0,0,0,1
3W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,207,565,472,238,392,864,711,277,3726
LMV,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,0,0,0,0,0,0,9,7,11,0,27
3W,GOBIND INDUSTRIES PVT LTD,0,0,0,0,7,0,0,12,5,10,34
2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,128,184,312
3W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,145,155,300
3W,GODAWARI TECHNO SOLUTIONS PVT LTD,0,0,0,1,93,48,55,86,74,32,389
LMV,GODREJ AND BOYCE MFG CO LTD,15,6,15,1,0,0,1,0,2,0,40
3W,GOENKA ELECTRIC MOTOR VEH P L,35,195,55,9,0,0,0,0,0,0,294
LMV,GOENKA ELECTRIC MOTOR VEH P L,0,1,2,15,0,0,0,0,0,0,18
3W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,73,348,506,693,787,743,644,462,36,4292
LMV,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,1
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),0,0,0,0,0,0,0,0,71,0,71
2W,GOGORO INDIA PVT LTD,0,0,0,0,0,0,0,0,18,115,133
3W,GOLD HOFER,0,0,0,0,0,0,0,0,1,0,1
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,1,1,2
3W,GOOD ENERGY INDIA,1,19,36,2,3,0,0,0,0,0,61
3W,GOOD WILL HI PRECISION,0,15,21,3,0,1,0,0,0,0,40
3W,GOODENERGY INDIA PVT LTD,0,97,86,5,0,0,0,0,0,0,188
3W,GOODWILL HI PRECISION WORKS PVT LTD,0,0,3,59,53,19,10,25,0,0,169
3W,GOPAL AGROTECH,0,0,1,0,0,0,0,0,0,0,1
3W,GOPAL AUTO MOTORS PVT LTD,0,0,0,277,262,292,518,1054,1494,939,4836
2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,1,94,1409,5343,3040,952,10839
3W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,0,0,0,51,0,21,65,136,11,284
3W,GRD MOTORS,0,0,0,241,1628,1476,1546,2154,3411,2043,12499
LMV,GREAT AUTOMOTIVE LIMITED,0,2,0,0,0,0,0,0,0,0,2
3W,GREAVES COTTON LTD.,0,0,1,0,0,0,0,0,0,0,1
2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,410,24045,18424,42879
3W,GREAVES INDIA PVT LTD,0,0,9,0,0,0,0,0,0,0,9
3W,GREEN EVOLVE PVT LTD,0,0,0,0,0,0,0,69,42,172,283
3W,GREEN IMPEX,1,627,650,246,182,25,3,175,442,169,2520
3W,GREEN KAIKETSU AUTOMATIVE IND,0,78,175,10,4,6,3,1,0,0,277
3W,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,0,37,146,140,146,27,14,5,0,0,515
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,0,0,0,0,18,14,39,36,28,27,162
3W,GREEN STAR MOTORS,0,0,0,8,0,0,24,15,345,176,568
LMV,GREEN STAR MOTORS,0,0,0,1,0,0,0,0,0,0,1
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,0,0,0,0,0,0,0,46,22,68
3W,GREEN TECHNOLOGIES,0,0,178,570,543,100,129,43,221,198,1982
3W,GREEN VALLEY MOTORS,0,0,47,220,89,38,13,14,11,4,436
LMV,GREEN VALLEY MOTORS,0,0,0,1,0,0,0,0,0,0,1
3W,GREEN WAY ECO RIDE,0,0,1,0,0,1,1,0,3,1,7
3W,GREEN WHEELZ (INDIA),0,0,31,131,15,3,0,0,0,0,180
3W,GREEN WORLD MOTORS PVT LTD,0,0,0,10,2,0,0,0,0,0,12
3W,GREENETICS INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,116,0,117
3W,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,0,4,168,172
3W,GREENTECH AUTO LLP,0,0,0,8,19,36,6,6,1,7,83
3W,GREENWHEELS AUTOMOBILE PVT LTD,0,61,170,98,201,129,505,905,872,424,3365
3W,GRG SMART VEHICLE PVT LTD,0,0,0,0,4,29,4,0,0,0,37
3W,GRINDIA G MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,2,5
2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0,0,0,0,0,0,0,0,0,4,4
3W,GUJARAT TRACTOR CORP LTD,0,1,0,0,0,0,0,0,0,0,1
3W,GURDEEP ENGINEERING WORKS,0,1,8,1,0,0,0,0,0,0,10
3W,GURJEET AGRO INDUSTRIES,0,1,8,2,0,0,0,0,0,0,11
3W,GURU JI WHEELS,0,0,0,0,0,21,118,117,64,0,320
3W,GURUKIRPA INDUSTRIES,0,0,127,251,383,79,53,57,37,1,988
3W,GURUKIRPA MOTORS,0,0,16,0,0,0,0,0,0,0,16
3W,GURUKRAPA ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0,1
3W,H. D. AUTOMOTIVES,0,0,0,1,9,0,0,0,0,0,10
2W,H.M.S.I. PVT. LTD.,0,3,2,0,0,0,0,0,0,0,5
3W,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,0,0,0,77,105,3,2,12,11,0,210
3W,HAITEK AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,60,60
2W,HAMPI TRACTORS,0,1,0,0,0,0,0,0,0,0,1
3W,HANUMAN UDYOG,0,0,0,0,0,0,0,0,8,68,76
3W,HARJAS AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,HARSH TRADING CO,0,0,67,297,231,73,75,45,34,36,858
3W,HARSHVIE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,2,4,6
2W,HAYASA E-MOBILITY (INDIA) PVT LTD,0,0,0,0,0,0,0,0,4,0,4
3W,HBSS E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,8,16,24
3W,H-D MOTOR COMPANY INDIA PVT LTD,0,0,4,0,0,0,0,0,0,0,4
3W,HERCULES CRANE PVT.LTD.,0,0,145,16,0,0,0,0,0,0,161
2W,HERO ECO VEHICLES PVT LTD,33,22,17,17,8,0,0,0,0,0,97
3W,HERO ECO VEHICLES PVT LTD,0,10,1,0,0,0,0,0,0,0,11
2W,HERO ELECTRIC VEHICLE PVT LTD,254,246,164,616,664,593,3058,2538,0,0,8133
3W,HERO ELECTRIC VEHICLE PVT LTD,63,94,42,5,0,0,0,0,0,0,204
LMV,HERO ELECTRIC VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0,1
2W,HERO ELECTRIC VEHICLES PVT. LTD,1,34,162,5785,11155,8247,46260,97828,29964,2211,201647
3W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,72,47,15,0,3,1,0,0,138
2W,HERO HONDA MOTORS  LTD,19,54,4,1,1,0,0,0,0,0,79
2W,HERO MOTOCORP LTD,92,157,74,39,33,0,0,182,11142,19479,31198
3W,HERO MOTOCORP LTD,0,0,229,62,0,0,0,0,0,0,291
LMV,HETTRA HET TRAILER,0,1,0,0,0,0,0,0,0,0,1
3W,HIM TEKNOFORGE LTD,0,0,19,46,85,50,151,449,624,321,1745
3W,HIND AGRO INDUSTRIES,0,0,0,1,0,0,0,0,0,0,1
3W,HINDUSTAN MOTOR CORPORATION,0,0,0,48,192,177,528,1162,1367,580,4054
LMV,HINDUSTAN MOTOR CORPORATION,0,0,0,0,1,0,0,0,0,0,1
2W,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,1,0,0,0,0,0,0,0,0,1
LMV,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,0,1,0,0,0,0,0,0,1
3W,HITECH  MECHANICAL WORKS,0,0,0,6,1,20,28,2,12,4,73
3W,HITECH ELECTRIC AUTO CO,0,27,14,0,0,0,0,2,0,0,43
3W,HITECH INDUSTRIES,0,37,62,3,0,0,0,0,0,0,102
3W,HI-TECH INDUSTRIES,0,0,253,257,131,37,441,297,122,21,1559
3W,HITEK ELECTRIC AUTO CO,0,0,87,155,108,7,2,5,0,0,364
3W,HITEK ELECTRIC AUTO CO.,0,0,2,0,0,0,0,0,0,0,2
3W,HMT LIMITED,0,0,1,0,0,0,0,0,0,0,1
2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,6,4,10
2W,HONDA CARS INDIA LTD,134,81,120,4,0,0,0,0,0,0,339
LMV,HONDA CARS INDIA LTD,2,1,0,1,0,0,0,0,0,0,4
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,119,195,36,19,4,0,0,30,0,0,403
LMV,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,2,0,0,0,0,0,0,0,0,2
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,14,84,163,261
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),0,0,0,0,0,0,0,0,18,3,21
2W,HOOGHLY MOTORS PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,HOOGHLY MOTORS PVT LTD,0,0,918,1216,1855,689,1091,2599,3741,2783,14892
2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,2,209,163,374
3W,HOP MOTORS PVT LTD,0,0,0,0,20,15,69,217,785,340,1446
3W,HOTAGE INDIA,0,5,688,1168,856,470,1046,4397,12840,7423,28893
2W,HOUSTAN INNOVATION LLP,0,0,0,0,0,0,0,33,32,5,70
LMV,HOUSTAN INNOVATION LLP,0,0,0,0,0,0,0,2,0,0,2
3W,HOVEL CYLINDER PVT LTD,0,152,456,676,238,30,13,21,62,48,1696
2W,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),0,0,0,0,0,0,0,0,2,1,3
3W,HUNDA EV PVT LTD,0,0,0,0,0,0,0,0,125,255,380
3W,HUNDAL INDUSTRIES,0,0,0,256,616,292,399,848,1011,562,3984
3W,HYKON INDIA LTD,0,0,0,0,0,0,159,306,91,17,573
3W,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,0,0,0,1
LMV,HYUNDAI MOTOR INDIA LTD,0,5,2,1,233,206,165,619,1606,757,3594
LMV,"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,0,0,0,0,0,5,0,1,6
3W,IDEAL JAWA INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,INDIA SAFE ENTERPRISE,0,0,0,0,0,0,0,16,276,241,533
2W,INDIA YAMAHA MOTOR PVT LTD,26,31,14,2,0,0,0,0,0,0,73
3W,INDIA YAMAHA MOTOR PVT LTD,0,0,36,7,0,0,0,0,0,0,43
3W,INDIAN MOTORS,0,0,0,5,52,106,350,1114,2035,1399,5061
3W,INDO FARM EQUIPMENT LIMITED,0,0,1,0,0,0,0,0,0,0,1
2W,INDUS ELECTROTHERM INDIA LTD,13,3,2,0,0,0,0,0,0,0,18
3W,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,272,272
2W,INTERNATIONAL CARS & MOTORS LTD,0,0,1,0,0,0,0,0,0,0,1
3W,INTERNATIONAL CARS & MOTORS LTD,0,0,1,0,0,0,0,0,0,0,1
LMV,INTERNATIONAL TRACTORS LIMITED,0,6,6,2,1,0,0,0,0,0,15
3W,INVVIGORS INDIA,0,0,0,0,0,0,0,9,96,73,178
2W,IRA EDUTECH PVT LTD,0,0,0,0,0,38,78,98,19,6,239
3W,ISUKII GREENS PVT LTD,0,0,0,0,0,0,0,0,65,14,79
2W,ISUZU MOTOR INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,1
2W,IVOOMI INNOVATION PVT LTD,0,0,0,0,0,0,0,627,2154,668,3449
2W,IZANAU ELECTRIC LLP,0,0,0,0,0,0,0,32,51,13,96
3W,J P AUTO TECH,0,0,0,17,6,8,50,82,80,30,273
3W,J S AGRO INDUSTRIES,0,0,0,1,1,0,0,0,0,0,2
3W,J S MOBILEON PVT LTD,0,248,43,0,10,0,0,6,7,0,314
3W,J. S. AUTO (P) LTD,0,95,2652,2921,2314,1260,3075,6947,11165,6278,36707
3W,J.S.AUTO PVT LTD (KANPUR),0,0,2,3,1,0,0,0,0,0,6
3W,JADE KOREA SPINE LIFE,0,0,0,69,74,53,67,20,113,24,420
3W,JAGUAR LAND ROVER INDIA LIMITED,0,0,43,6,0,0,0,0,0,0,49
LMV,JAGUAR LAND ROVER INDIA LIMITED,0,0,0,0,0,0,27,40,9,4,80
LMV,JAI AMBE FABRICATION & ENGINEERING WORK,1,0,0,0,0,0,0,0,0,0,1
LMV,JAI BHAVANI ENGINEERING  WORKS,0,0,0,0,0,0,0,1,0,0,1
3W,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,0,0,0,0,0,0,0,165,108,273
3W,JAIDKA POWER SYSTEMS PVT LTD,0,0,0,157,414,249,180,636,163,61,1860
LMV,JAIDKA POWER SYSTEMS PVT LTD,0,0,0,0,0,0,0,1,0,0,1
3W,JAIN POWER CORP,0,0,0,39,80,28,33,64,143,58,445
LMV,JAIN POWER CORP,0,0,0,0,0,0,0,0,0,1,1
3W,JAISIK BUSINESS LINKS PVT LTD,0,0,0,0,0,0,176,224,600,287,1287
3W,JAISWAL INDUSTRIES,0,0,8,0,0,0,0,0,0,0,8
3W,JAJODIA COMMODITIES PVT LTD,0,0,131,779,633,660,224,396,950,770,4543
3W,JAL ENTERPRISES,0,0,0,0,0,0,0,0,38,2,40
LMV,JANANI TRAILERS,1,0,0,0,0,0,0,0,0,0,1
3W,JAY ACE TECHNOLOGIES LTD,0,36,88,26,2,1,0,0,0,0,153
LMV,JAY AMBE AGRICULTURE,0,1,0,0,0,0,0,0,0,0,1
3W,JAYA AUTOMOTIVES PVT LTD      ,0,3,23,0,0,0,0,0,0,0,26
LMV,JAYANTI AGRO CENTRES,1,0,0,0,0,0,0,0,0,0,1
3W,JAYATI TOOLS,0,0,0,0,0,0,0,0,0,5,5
3W,JAYDEV ENTERPRISE,0,0,0,55,248,95,42,23,6,0,469
LMV,JAYEM AUTOMOTIVES PVT LTD,0,0,0,0,19,42,49,0,0,0,110
3W,JAYNA AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,5,5
3W,JCB INDIA LTD,0,0,37,9,0,0,0,0,0,0,46
LMV,JEEVA TRAILERS,0,0,1,0,0,0,0,0,0,0,1
2W,JEEVAA E-BIKE MFG PVT LTD,0,0,0,0,0,0,0,0,0,1,1
3W,JEMCO ENGINEERING PVT LTD,0,0,0,3,0,0,0,0,0,0,3
3W,JESSUN TECHNO PVT LTD,0,0,0,174,362,43,84,155,208,101,1127
2W,JIANGSU AIMA (IMPORTER: FUTURE EV),0,0,0,0,0,0,0,0,8,40,48
2W,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),0,0,0,0,0,0,0,31,454,13,498
2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,0,11,4,15
2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),0,0,0,0,0,0,0,0,20,7,27
2W,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),0,0,0,0,0,0,0,0,2,0,2
2W,JIANGSU DALONG (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,0,22,24,46
2W,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),0,0,0,0,0,0,0,0,50,10,60
2W,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),0,0,0,0,0,0,0,0,1,0,1
2W,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),0,0,0,0,0,0,0,0,31,10,41
2W,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),0,0,0,0,0,0,0,0,0,7,7
3W,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,10,16,26
2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,1,10,2,13
2W,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),0,0,0,0,0,0,0,12,3,2,17
2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),0,0,0,0,0,0,2,41,85,11,139
2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),0,0,0,0,0,0,0,496,799,121,1416
3W,JIJO ELECTRIC WHEELS PVT LTD,0,137,442,471,184,6,0,0,0,0,1240
3W,JINDAL ELECTRIC VEHICLES,0,0,0,3,37,3,0,0,0,0,43
2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,46,454,1967,9553,2617,687,15324
3W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,1,2,32,75,66,34,5,215
LMV,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,3,1,0,0,0,0,0,4
3W,JITENDRA TEMPO PARTS,0,0,0,0,34,89,601,680,740,348,2492
3W,JMT VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1077,1383,2460
LMV,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,1,3,2,0,0,0,0,0,0,6
3W,JOYRAM STEEL FABRICATION WORKS,0,0,0,0,0,1,5,3,14,3,26
3W,JS MOBILEON PVT LTD,0,0,146,283,208,43,115,306,950,678,2729
3W,JSS ENGINEERING COMPANY,0,0,0,0,5,0,0,0,0,0,5
2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,9,52,37,98
2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),0,0,0,0,0,0,0,37,212,102,351
2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,52,52
2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),0,0,0,0,0,0,0,0,22,23,45
LMV,JUNGHEINRICH AG AND CO,0,0,2,0,0,0,0,0,0,0,2
3W,JUNO CASTINGS PVT LTD,0,9,79,238,79,6,0,0,0,0,411
LMV,JUNO CASTINGS PVT LTD,0,0,0,1,0,0,0,0,0,0,1
2W,K M MOTORS,0,0,0,0,1,0,0,0,0,0,1
3W,K T ENTERPRISES,0,0,0,52,143,57,129,292,156,93,922
3W,K. S. INDUSTRIES,0,0,0,0,0,0,0,0,0,8,8
3W,K. V. INDUSTRIES,0,0,0,0,26,19,10,12,38,19,124
2W,KABIRA MOBILITY LLP,0,0,0,0,0,0,5,107,165,27,304
3W,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,0,6,62,40,66,78,263,479,189,1183
3W,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,4,12
2W,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),0,0,0,0,0,0,0,0,7,10,17
